symbol,index,security,status,reason,rows,start,end
BTU,S&P 600,"Peabody Energy, Inc.",OK,,902,2023-01-13,2026-08-19
BURL,S&P 400,Burlington Stores,OK,,899,2023-01-13,2026-08-19
BWA,S&P 400,BorgWarner,OK,,899,2023-01-13,2026-08-19
BWXT,S&P 400,BWX Technologies,OK,,902,2023-01-13,2026-08-19
BXMT,S&P 600,"Blackstone Mortgage Trust, Inc.",OK,,902,2023-01-13,2026-08-19
BYD,S&P 400,Boyd Gaming,OK,,899,2023-01-13,2026-08-19
CACC,S&P 600,Credit Acceptance,OK,,899,2023-01-13,2026-08-19
CACI,S&P 400,CACI International,OK,,899,2023-01-13,2026-08-19
CAG,S&P 600,Conagra Brands,OK,,902,2023-01-13,2026-08-19
CAKE,S&P 600,"The Cheesecake Factory, Inc.",OK,,900,2023-01-13,2026-08-19
CALM,S&P 600,"Cal-Maine Foods, Inc.",OK,,902,2023-01-13,2026-08-19
CALX,S&P 600,Calix,OK,,900,2023-01-13,2026-08-19
CALY,S&P 600,Callaway Golf Company,OK,,902,2023-01-13,2026-08-19
CAR,S&P 400,Avis Budget Group,OK,,899,2023-01-13,2026-08-19
CARG,S&P 600,CarGurus,OK,,899,2023-01-13,2026-08-19
CART,S&P 400,Maplebear Inc.,OK,,729,2023-09-19,2026-08-19
CASH,S&P 600,"Pathward Financial, Inc.",OK,,900,2023-01-13,2026-08-19
CATY,S&P 600,Cathay General Bancorp,OK,,902,2023-01-13,2026-08-19
CAVA,S&P 400,Cava Group,OK,,797,2023-06-15,2026-08-19
CBRL,S&P 600,Cracker Barrel,OK,,899,2023-01-13,2026-08-19
CBSH,S&P 400,Commerce Bancshares,OK,,899,2023-01-13,2026-08-19
CBT,S&P 400,Cabot Corp,OK,,899,2023-01-13,2026-08-19
CBU,S&P 600,"Community Bank System, Inc.",OK,,899,2023-01-13,2026-08-19
CC,S&P 600,Chemours,OK,,902,2023-01-13,2026-08-19
CCK,S&P 400,Crown Holdings,OK,,902,2023-01-13,2026-08-19
CCOI,S&P 600,"Cogent Communications Holdings, Inc.",OK,,900,2023-01-13,2026-08-19
CCS,S&P 600,"Century Communities, Inc.",OK,,899,2023-01-13,2026-08-19
CDE,S&P 400,Coeur Mining,OK,,902,2023-01-13,2026-08-19
CDP,S&P 400,COPT Defense Properties,OK,,899,2023-01-13,2026-08-19
CE,S&P 600,Celanese,OK,,899,2023-01-13,2026-08-19
CELH,S&P 400,Celsius Holdings,OK,,902,2023-01-13,2026-08-19
CENT,S&P 600,Central Garden & Pet Company,OK,,899,2023-01-13,2026-08-19
CENTA,S&P 600,Central Garden & Pet Company (Class A),OK,,899,2023-01-13,2026-08-19
CENX,S&P 600,Century Aluminum Company,OK,,899,2023-01-13,2026-08-19
CERT,S&P 600,"Certara, Inc.",OK,,899,2023-01-13,2026-08-19
CFFN,S&P 600,Capitol Federal Savings Bank,OK,,902,2023-01-13,2026-08-19
CFR,S&P 400,Frost Bank,OK,,899,2023-01-13,2026-08-19
CG,S&P 400,Carlyle Group (The),OK,,900,2023-01-13,2026-08-19
CGNX,S&P 400,Cognex,OK,,901,2023-01-13,2026-08-19
CHCO,S&P 600,City Holding Company,OK,,899,2023-01-13,2026-08-19
CHDN,S&P 400,Churchill Downs Inc.,OK,,899,2023-01-13,2026-08-19
CHE,S&P 400,Chemed Corp.,OK,,899,2023-01-13,2026-08-19
CHEF,S&P 600,"Chefs' Warehouse, Inc.",OK,,902,2023-01-13,2026-08-19
CHH,S&P 400,Choice Hotels,OK,,899,2023-01-13,2026-08-19
CHRD,S&P 400,Chord Energy,OK,,902,2023-01-13,2026-08-19
CHWY,S&P 400,Chewy,OK,,901,2023-01-13,2026-08-19
CLF,S&P 400,Cleveland-Cliffs,OK,,902,2023-01-13,2026-08-19
CLH,S&P 400,Clean Harbors,OK,,899,2023-01-13,2026-08-19
CLSK,S&P 600,"CleanSpark, Inc.",OK,,902,2023-01-13,2026-08-19
CMC,S&P 400,Commercial Metals,OK,,899,2023-01-13,2026-08-19
CNH,S&P 400,CNH Industrial,OK,,899,2023-01-13,2026-08-19
CNK,S&P 600,"Cinemark Holdings, Inc.",OK,,902,2023-01-13,2026-08-19
CNM,S&P 400,Core & Main,OK,,899,2023-01-13,2026-08-19
CNMD,S&P 600,CONMED Corporation,OK,,902,2023-01-13,2026-08-19
CNO,S&P 400,CNO Financial Group,OK,,899,2023-01-13,2026-08-19
CNR,S&P 600,"Core Natural Resources, Inc.",OK,,899,2023-01-13,2026-08-19
CNS,S&P 600,"Cohen & Steers, Inc.",OK,,899,2023-01-13,2026-08-19
CNX,S&P 400,CNX Resources,OK,,899,2023-01-13,2026-08-19
CNXC,S&P 600,Concentrix,OK,,900,2023-01-13,2026-08-19
CNXN,S&P 600,"PC Connection, Inc.",OK,,899,2023-01-13,2026-08-19
COCO,S&P 600,The Vita Coco Company,OK,,899,2023-01-13,2026-08-19
COHU,S&P 600,"Cohu, Inc.",OK,,900,2023-01-13,2026-08-19
COKE,S&P 400,Coca-Cola Consolidated,OK,,900,2023-01-13,2026-08-19
COLB,S&P 400,Columbia Banking System,OK,,902,2023-01-13,2026-08-19
COLL,S&P 600,"Collegium Pharmaceutical, Inc.",OK,,899,2023-01-13,2026-08-19
COLM,S&P 400,Columbia Sportswear,OK,,899,2023-01-13,2026-08-19
CON,S&P 600,"Concentra Group Holdings Parent, Inc.",OK,,519,2024-07-25,2026-08-19
CORT,S&P 600,Corcept Therapeutics Incorporated,OK,,899,2023-01-13,2026-08-19
COTY,S&P 600,Coty,OK,,900,2023-01-13,2026-08-19
CPB,S&P 600,The Campbell's Company,OK,,902,2023-01-13,2026-08-19
CPF,S&P 600,Central Pacific Financial Corp.,OK,,899,2023-01-13,2026-08-19
CPK,S&P 600,Chesapeake Utilities Corp.,OK,,902,2023-01-13,2026-08-19
CPRI,S&P 400,Capri Holdings,OK,,902,2023-01-13,2026-08-19
CR,S&P 400,Crane,OK,,848,2023-03-29,2026-08-19
CRBG,S&P 400,Corebridge Financial,OK,,899,2023-01-13,2026-08-19
CRC,S&P 600,California Resources Corporation,OK,,902,2023-01-13,2026-08-19
CRGY,S&P 600,Crescent Energy Company,OK,,902,2023-01-13,2026-08-19
CRI,S&P 600,"Carter's, Inc.",OK,,899,2023-01-13,2026-08-19
CRK,S&P 600,"Comstock Resources, Inc.",OK,,902,2023-01-13,2026-08-19
CROX,S&P 400,Crocs,OK,,899,2023-01-13,2026-08-19
CRS,S&P 400,Carpenter Technology,OK,,902,2023-01-13,2026-08-19
CRSR,S&P 600,Corsair Gaming,OK,,902,2023-01-13,2026-08-19
CRUS,S&P 400,Cirrus Logic,OK,,899,2023-01-13,2026-08-19
CRVL,S&P 600,CorVel Corporation,OK,,899,2023-01-13,2026-08-19
CSL,S&P 400,Carlisle Companies,OK,,899,2023-01-13,2026-08-19
CSR,S&P 600,Centerspace Trust,OK,,899,2023-01-13,2026-08-19
CSW,S&P 600,"CSW Industrials, Inc.",OK,,899,2023-01-13,2026-08-19
CTRE,S&P 400,CareTrust REIT,OK,,902,2023-01-13,2026-08-19
CTS,S&P 600,CTS Corporation,OK,,899,2023-01-13,2026-08-19
CUBE,S&P 400,CubeSmart,OK,,899,2023-01-13,2026-08-19
CUBI,S&P 600,"Customers Bancorp, Inc.",OK,,899,2023-01-13,2026-08-19
CURB,S&P 600,Curbline Properties Corp.,OK,,472,2024-09-26,2026-08-19
CUZ,S&P 400,Cousins Properties,OK,,899,2023-01-13,2026-08-19
CVBF,S&P 600,CVB Financial Corp.,OK,,899,2023-01-13,2026-08-19
CVCO,S&P 600,"Cavco Industries, Inc.",OK,,899,2023-01-13,2026-08-19
CVI,S&P 600,"CVR Energy, Inc.",OK,,899,2023-01-13,2026-08-19
CVLT,S&P 400,CommVault Systems,OK,,899,2023-01-13,2026-08-19
CVSA,S&P 600,Covista Inc.,OK,,899,2023-01-13,2026-08-19
CW,S&P 400,Curtiss-Wright,OK,,899,2023-01-13,2026-08-19
CWEN,S&P 600,"Clearway Energy, Inc. (Class C)",OK,,899,2023-01-13,2026-08-19
CWEN-A,S&P 600,"Clearway Energy, Inc. (Class A)",FAILED,"No data found, symbol may be delisted",0,,
CWK,S&P 600,Cushman & Wakefield plc,OK,,902,2023-01-13,2026-08-19
CWST,S&P 600,"Casella Waste Systems, Inc.",OK,,899,2023-01-13,2026-08-19
CWT,S&P 600,California Water Service Group,OK,,899,2023-01-13,2026-08-19
CXM,S&P 600,"Sprinklr, Inc.",OK,,901,2023-01-13,2026-08-19
CXT,S&P 400,Crane NXT,OK,,902,2023-01-13,2026-08-19
CXW,S&P 600,CoreCivic,OK,,902,2023-01-13,2026-08-19
CYTK,S&P 400,Cytokinetics,OK,,902,2023-01-13,2026-08-19
CZR,S&P 600,Caesars Entertainment,OK,,902,2023-01-13,2026-08-19
DAN,S&P 600,Dana Incorporated,OK,,899,2023-01-13,2026-08-19
DAR,S&P 400,Darling Ingredients,OK,,902,2023-01-13,2026-08-19
DAVE,S&P 600,"Dave, Inc.",OK,,900,2023-01-13,2026-08-19
DBD,S&P 600,Diebold Nixdorf,OK,,754,2023-08-14,2026-08-19
DBX,S&P 400,Dropbox,OK,,900,2023-01-13,2026-08-19
DCH,S&P 600,Dauch Corporation,OK,,899,2023-01-13,2026-08-19
DCI,S&P 400,Donaldson Company,OK,,899,2023-01-13,2026-08-19
DCOM,S&P 600,"Dime Community Bancshares, Inc.",OK,,899,2023-01-13,2026-08-19
DEA,S&P 600,"Easterly Government Properties, Inc.",OK,,902,2023-01-13,2026-08-19
DEI,S&P 600,Douglas Emmett,OK,,902,2023-01-13,2026-08-19
DFH,S&P 600,"Dream Finders Homes, Inc.",OK,,899,2023-01-13,2026-08-19
DFIN,S&P 600,"Donnelley Financial Solutions, Inc.",OK,,899,2023-01-13,2026-08-19
