Ticker,EventID,Date,TrendEfficiency_OLD,TrendEfficiency_v2_NEW,MARespect_OLD,MARespect_v5_NEW,RelativeStrength_OLD,RelativeStrength_v2_NEW,Outcome_20ma_P_R,Outcome_HybridTight_P_R
CENX,CENX_3,2026-03-19,0,2,5,4.0,0,3,-1.0,-1.0
CG,CG_0,2024-04-15,0,4,5,3.0,3,4,-1.0,-1.0
CGNX,CGNX_0,2025-10-10,1,1,5,2.0,0,3,-1.0,-1.0
CHWY,CHWY_0,2024-08-01,0,0,2,1.0,0,2,-1.0,-1.0
CHWY,CHWY_1,2024-08-13,1,2,1,,3,2,1.277,1.087
CHWY,CHWY_2,2024-08-26,0,2,5,,5,2,0.921,1.476
CHWY,CHWY_3,2024-09-05,0,2,5,,1,3,0.758,0.758
CHWY,CHWY_4,2024-10-18,1,4,5,1.0,1,3,-1.0,-1.0
CHWY,CHWY_5,2024-12-04,2,2,3,,1,3,0.844,0.844
CLSK,CLSK_0,2024-01-29,1,1,0,,4,1,-1.0,-1.0
CLSK,CLSK_1,2024-04-05,1,0,5,1.0,0,1,0.119,0.119
CLSK,CLSK_2,2024-04-18,0,1,5,,5,1,0.495,0.495
CLSK,CLSK_3,2024-04-29,0,1,5,,5,2,-1.0,-1.0
CLSK,CLSK_4,2024-05-24,1,2,5,,5,1,0.495,0.495
CLSK,CLSK_5,2024-06-25,1,3,4,,5,0,-1.0,-1.0
CMC,CMC_0,2026-02-23,1,5,5,5.0,0,3,-1.0,-1.0
CNK,CNK_0,2024-10-03,0,5,5,4.0,0,3,6.56,2.018
CNK,CNK_1,2024-12-17,2,4,5,3.0,0,3,-1.0,-1.0
CNM,CNM_0,2024-05-29,0,4,5,4.0,0,4,-1.0,-1.0
CNX,CNX_0,2024-12-06,0,3,5,3.0,0,3,1.533,1.533
COCO,COCO_0,2026-02-18,0,1,5,3.0,0,3,-1.0,-1.0
COCO,COCO_1,2026-06-29,1,3,1,3.0,0,3,-1.0,-1.0
COHU,COHU_0,2026-07-07,0,2,5,3.0,0,1,-1.0,-1.0
COLB,COLB_0,2024-12-16,1,3,5,4.0,0,3,-1.0,-1.0
CORT,CORT_0,2024-10-31,5,4,5,4.0,5,5,5.014,2.244
CORT,CORT_1,2025-02-25,1,2,5,,0,3,1.396,1.396
CORT,CORT_2,2025-06-30,0,0,5,,4,0,-1.0,-1.0
CRBG,CRBG_0,2024-06-05,1,1,5,3.0,0,3,0.944,0.944
CRC,CRC_0,2025-10-10,0,4,5,2.0,0,0,-1.0,-1.0
CTRE,CTRE_0,2024-08-02,2,3,5,3.0,5,5,5.768,1.64
CVI,CVI_0,2025-11-04,1,2,5,3.0,5,4,1.218,1.268
CWK,CWK_0,2025-10-07,2,4,5,3.0,0,3,-1.0,-1.0
CXW,CXW_0,2024-02-16,0,3,5,,3,0,0.834,0.802
CXW,CXW_1,2024-03-19,0,3,5,,3,0,2.065,2.33
CXW,CXW_2,2026-08-06,5,2,5,4.0,1,5,1.897,1.873
CYTK,CYTK_0,2024-02-28,1,4,5,2.0,0,1,-1.0,-1.0
CYTK,CYTK_1,2025-12-09,0,5,5,4.0,0,3,-1.0,-1.0
DAN,DAN_0,2025-10-07,0,5,5,1.0,0,3,-1.0,-1.0
DAN,DAN_1,2026-03-19,0,4,5,5.0,1,4,1.216,1.216
DAN,DAN_2,2026-05-04,0,3,5,4.0,0,3,-1.0,-1.0
DAR,DAR_0,2026-05-19,1,3,5,4.0,0,2,-1.0,-1.0
DEI,DEI_0,2024-11-19,1,2,5,5.0,1,4,1.302,1.831
DEI,DEI_1,2024-12-18,0,2,5,4.0,3,4,-1.0,-1.0
DINO,DINO_0,2025-10-30,0,4,5,5.0,4,4,1.288,1.288
DINO,DINO_1,2025-11-20,0,4,5,4.0,3,4,-1.0,-1.0
DKS,DKS_0,2024-07-01,0,2,5,,0,0,-1.0,-1.0
DKS,DKS_1,2024-07-22,1,2,3,,4,0,-1.0,-1.0
DOCN,DOCN_0,2026-06-25,3,0,5,4.0,0,2,1.744,1.744
DOCS,DOCS_0,2025-01-10,2,3,5,4.0,0,3,-1.0,-1.0
DOCU,DOCU_0,2025-01-27,1,1,5,3.0,1,3,0.77,1.491
DOCU,DOCU_1,2025-02-07,3,3,5,3.0,3,3,-1.0,-1.0
DTM,DTM_0,2025-02-05,0,1,5,1.0,0,3,-1.0,-1.0
EAT,EAT_0,2024-07-09,2,5,5,4.0,0,3,-1.0,-1.0
EAT,EAT_1,2025-02-21,0,1,5,2.0,0,2,1.457,1.457
EAT,EAT_2,2025-03-04,1,1,5,2.0,0,2,-1.0,-1.0
EAT,EAT_3,2025-03-25,0,1,3,,5,3,-1.0,-1.0
ELAN,ELAN_0,2025-12-08,2,3,5,5.0,0,3,-1.0,-1.0
ELAN,ELAN_1,2026-01-02,0,2,5,2.0,3,4,4.272,3.366
ELF,ELF_0,2024-04-02,1,4,5,4.0,0,2,-1.0,-1.0
EXEL,EXEL_0,2024-12-20,3,2,5,3.0,0,4,0.159,0.159
EXEL,EXEL_1,2025-03-31,2,5,5,,4,4,-1.0,-1.0
EXLS,EXLS_0,2025-02-24,2,4,5,3.0,0,4,0.967,0.967
EXTR,EXTR_0,2025-09-26,2,1,5,2.0,0,3,1.197,1.197
EXTR,EXTR_1,2026-07-24,1,3,5,5.0,0,3,-0.842,-0.842
EYE,EYE_0,2025-08-06,3,3,5,5.0,0,4,1.22,1.22
EYE,EYE_1,2025-10-21,0,5,5,,0,0,1.027,1.027
EZPW,EZPW_0,2026-06-22,0,2,5,3.0,1,3,0.495,0.495
EZPW,EZPW_1,2026-07-08,0,4,5,,1,3,-1.0,-1.0
FHN,FHN_0,2024-12-20,2,2,2,2.0,3,4,1.744,1.744
FIVE,FIVE_0,2025-09-12,0,4,5,4.0,0,3,1.649,1.458
FIVE,FIVE_1,2025-10-07,2,2,5,4.0,0,4,1.355,1.776
FLS,FLS_0,2026-03-06,1,3,5,1.0,0,3,-1.0,-1.0
FORM,FORM_0,2026-05-18,1,1,5,4.0,0,1,-1.0,-1.0
FORM,FORM_1,2026-05-29,1,3,5,4.0,0,2,-1.0,-1.0
FORM,FORM_2,2026-06-02,1,3,5,3.0,5,2,-1.0,-1.0
FORM,FORM_3,2026-06-09,0,2,5,,0,2,-1.0,-1.0
FORM,FORM_4,2026-06-11,0,3,5,,4,2,0.614,0.614
FORM,FORM_5,2026-06-26,0,2,5,,4,2,0.495,1.386
FORM,FORM_6,2026-07-02,0,2,5,,0,2,-1.0,-1.0
FTI,FTI_0,2026-05-11,2,4,5,4.0,0,3,1.504,1.504
FTRE,FTRE_0,2026-02-04,1,2,5,3.0,0,3,-1.0,-1.0
G,G_0,2024-12-18,2,0,5,,0,3,0.859,0.859
G,G_1,2025-03-25,2,2,5,,1,4,-1.0,-1.0
GAP,GAP_0,2024-01-18,0,4,5,2.0,0,2,-1.0,-1.0
GAP,GAP_1,2024-02-08,1,4,5,,3,2,-1.0,-1.0
GAP,GAP_2,2024-04-15,1,2,5,,0,2,-1.0,-1.0
GEO,GEO_0,2024-05-07,2,2,5,1.0,0,3,-1.0,-1.0
GEO,GEO_1,2024-05-31,0,2,5,,5,3,0.495,0.206
GEO,GEO_2,2025-01-28,1,3,5,4.0,0,2,1.577,1.522
GME,GME_0,2024-07-18,0,0,0,1.0,5,0,-1.0,-1.0
GMED,GMED_0,2026-01-29,0,0,5,3.0,1,4,0.906,0.906
GTES,GTES_0,2024-05-01,3,2,5,3.0,0,4,-1.0,-1.0
GTES,GTES_1,2024-05-16,0,0,5,,3,4,0.495,0.661
GTES,GTES_2,2024-12-23,3,3,5,1.0,0,3,-1.0,-1.0
GWRE,GWRE_0,2024-12-06,0,1,5,0.0,0,0,-1.0,-1.0
HALO,HALO_0,2024-09-24,0,3,5,3.0,0,3,-1.0,-1.0
HCC,HCC_0,2026-02-02,1,1,5,3.0,0,3,-1.0,-1.0
HIMS,HIMS_0,2024-07-19,0,2,5,1.0,0,2,1.483,1.87
HIMS,HIMS_1,2024-08-01,0,2,5,1.0,0,2,-1.0,-1.0
HIMS,HIMS_2,2025-03-06,0,0,5,,0,0,-1.0,-1.0
HIMS,HIMS_3,2025-06-23,1,0,0,,0,1,-1.0,-1.0
HIMS,HIMS_4,2025-06-27,1,0,0,,0,1,-1.0,-1.0
HL,HL_0,2025-11-21,1,1,5,5.0,1,3,10.555,3.607
HL,HL_1,2026-02-05,1,1,5,3.0,0,1,1.421,1.421
HL,HL_2,2026-02-12,0,1,5,3.0,0,1,-1.0,-1.0
HLX,HLX_0,2026-04-17,0,2,5,4.0,0,2,1.41,1.866
HLX,HLX_1,2026-05-07,1,4,5,3.0,1,2,1.352,1.352
HLX,HLX_2,2026-05-27,0,3,5,3.0,0,0,-1.0,-1.0
HP,HP_0,2026-04-01,0,3,5,3.0,0,4,-1.0,-1.0
HP,HP_1,2026-05-07,0,3,5,3.0,0,3,2.255,1.754
HRB,HRB_0,2023-11-08,2,4,5,3.0,0,4,2.855,3.384
HRB,HRB_1,2024-10-09,2,1,5,2.0,0,3,-1.0,-1.0
HXL,HXL_0,2026-03-11,0,4,5,3.0,0,3,-1.0,-1.0
IART,IART_0,2026-07-29,0,3,5,3.0,0,2,-1.0,-1.0
ICHR,ICHR_0,2026-06-05,0,1,5,4.0,0,2,4.786,7.535
ICHR,ICHR_1,2026-07-17,1,1,5,4.0,0,1,2.403,2.403
INDV,INDV_0,2025-10-03,1,2,5,3.0,4,3,10.794,1.484
INDV,INDV_1,2026-01-13,3,1,5,4.0,0,3,-1.0,-1.0
IRDM,IRDM_0,2026-06-16,0,1,5,5.0,0,2,1.187,1.187
IRDM,IRDM_1,2026-07-16,0,0,5,3.0,0,2,-1.0,-1.0
JAZZ,JAZZ_0,2026-01-08,3,0,5,4.0,0,2,1.408,1.408
JBTM,JBTM_0,2025-01-08,0,3,5,4.0,0,4,1.136,1.136
JEF,JEF_0,2024-04-30,0,4,5,,5,5,2.725,3.396
JEF,JEF_1,2024-09-11,0,1,5,4.0,1,4,4.494,3.101
JEF,JEF_2,2025-01-21,0,2,5,1.0,0,4,-1.0,-1.0
KBH,KBH_0,2024-04-24,0,4,2,,5,4,-1.0,-1.0
KD,KD_0,2024-03-26,0,3,5,3.0,0,0,-1.0,-1.0
KD,KD_1,2025-02-24,1,2,5,3.0,0,3,-1.0,-1.0
KGS,KGS_0,2026-06-01,2,2,5,2.0,0,2,1.45,1.45
KGS,KGS_1,2026-07-02,0,3,5,2.0,4,3,-1.0,-1.0
KLIC,KLIC_0,2026-07-07,0,2,5,4.0,0,2,1.104,1.104
KMT,KMT_0,2026-03-17,1,1,5,4.0,0,3,-1.0,-1.0
KMT,KMT_1,2026-04-08,1,2,5,,4,4,0.495,0.495
KN,KN_0,2026-07-02,1,4,5,4.0,0,3,-1.0,-1.0
KNX,KNX_0,2026-03-09,0,3,5,4.0,1,3,-1.0,-1.0
KRG,KRG_0,2024-10-15,1,5,5,4.0,1,4,0.782,0.782
KSS,KSS_0,2025-10-10,0,0,5,2.0,0,2,1.372,1.372
KSS,KSS_1,2025-11-17,0,3,5,2.0,3,3,-1.0,-1.0
KSS,KSS_2,2026-01-12,0,0,5,,0,2,-1.0,-1.0
LAUR,LAUR_0,2025-10-31,0,2,5,3.0,0,3,0.495,1.011
LBRT,LBRT_0,2026-04-08,1,2,5,4.0,0,3,-1.0,-1.0
LBRT,LBRT_1,2026-05-27,0,3,5,3.0,0,0,-1.0,-1.0
LEU,LEU_0,2024-11-15,1,1,0,3.0,0,1,1.885,1.885
LEU,LEU_1,2024-11-19,0,1,0,2.0,0,1,-1.0,-1.0
LEU,LEU_2,2025-08-13,0,2,5,4.0,0,1,-1.0,-1.0
LEU,LEU_3,2025-08-26,0,2,5,,0,2,-1.0,-1.0
LEU,LEU_4,2025-11-10,0,1,5,,0,1,-1.0,-1.0
LNTH,LNTH_0,2024-07-31,3,0,5,4.0,0,3,1.535,1.535
LPG,LPG_0,2024-01-11,1,2,5,4.0,0,2,-1.0,-1.0
LQDA,LQDA_0,2025-09-22,1,2,1,2.0,0,2,-1.0,-1.0
LQDA,LQDA_1,2026-01-05,2,4,5,4.0,0,3,0.495,0.495
LQDA,LQDA_2,2026-02-17,0,2,5,3.0,0,1,-1.0,-1.0
LQDA,LQDA_3,2026-08-13,0,3,5,3.0,0,2,-1.0,-1.0
LRN,LRN_0,2024-01-25,0,0,5,,3,0,-1.0,-1.0
LTH,LTH_0,2024-10-02,0,3,5,5.0,0,4,0.324,2.161
LTH,LTH_1,2024-11-12,0,3,5,,5,0,-1.0,-1.0
LUMN,LUMN_0,2024-10-14,0,3,5,4.0,0,2,1.793,1.793
LUMN,LUMN_1,2024-10-22,0,2,5,3.0,0,2,3.948,1.008
LUMN,LUMN_2,2024-12-02,0,2,5,2.0,0,1,-1.0,-1.0
LUMN,LUMN_3,2025-11-18,1,0,5,3.0,0,1,1.371,1.371
LUMN,LUMN_4,2025-12-08,1,0,5,3.0,5,1,0.25,0.969
LUMN,LUMN_5,2026-02-03,0,2,5,,5,0,-1.0,-1.0
LYFT,LYFT_0,2024-04-17,0,3,5,2.0,1,3,-1.0,-1.0
LYFT,LYFT_1,2025-10-30,1,1,1,2.0,0,2,0.116,0.116
LYFT,LYFT_2,2025-11-19,0,1,5,3.0,5,3,-1.0,-1.0
M,M_0,2024-02-22,1,4,5,1.0,4,2,-0.53,-0.53
M,M_1,2024-03-26,0,1,5,,0,0,-1.0,-1.0
M,M_2,2026-01-12,0,2,5,3.0,0,3,-1.0,-1.0
M,M_3,2026-02-06,0,2,3,,5,4,-1.0,-1.0
MAC,MAC_0,2024-12-30,1,4,5,4.0,0,4,-1.0,-1.0
MARA,MARA_0,2024-02-08,1,0,0,,5,1,2.549,2.993
MARA,MARA_1,2024-03-05,0,1,5,,0,1,-1.0,-1.0
MARA,MARA_2,2024-04-01,0,1,5,,5,0,-1.0,-1.0
MD,MD_0,2024-12-20,1,1,5,3.0,1,3,-1.0,-1.0
MIR,MIR_0,2025-01-08,0,4,5,4.0,0,3,-1.0,-1.0
MKSI,MKSI_0,2026-03-06,1,3,5,1.0,0,2,-1.0,-1.0
MLI,MLI_0,2024-05-29,2,1,5,4.0,0,4,1.401,1.401
MLI,MLI_1,2024-10-10,1,5,5,3.0,1,4,1.593,1.593
MLI,MLI_2,2024-12-02,1,2,5,2.0,0,2,-1.0,-1.0
MLI,MLI_3,2026-02-04,0,0,5,0.0,0,2,-1.0,-1.0
MP,MP_0,2025-09-29,0,1,5,4.0,4,3,1.733,1.037
MP,MP_1,2025-10-22,0,1,5,4.0,3,1,-1.0,-1.0
MWA,MWA_0,2024-08-05,1,2,5,,3,4,1.924,2.187
MWA,MWA_1,2024-12-18,0,3,5,1.0,0,3,-1.0,-1.0
MXL,MXL_0,2026-07-07,0,1,5,3.0,0,1,-1.0,-1.0
NE,NE_0,2026-04-17,0,4,5,5.0,0,2,1.727,2.128
NE,NE_1,2026-05-06,1,4,5,4.0,3,3,1.176,1.219
NEOG,NEOG_0,2026-03-06,3,0,5,2.0,0,3,-1.0,-1.0
NTNX,NTNX_0,2024-04-02,0,3,5,3.0,0,3,1.479,1.479
NTNX,NTNX_1,2024-04-15,0,3,5,3.0,4,4,-1.0,-1.0
NVT,NVT_0,2024-05-01,1,3,5,2.0,1,4,-1.0,-1.0
NVT,NVT_1,2024-06-04,0,3,5,2.0,0,3,0.373,0.373
OHI,OHI_0,2024-11-05,0,1,5,3.0,3,0,-1.0,-1.0
OII,OII_0,2026-04-02,1,4,5,4.0,4,4,1.315,1.386
OII,OII_1,2026-04-23,0,3,5,4.0,3,4,0.605,0.605
OKTA,OKTA_0,2026-08-19,2,2,5,4.0,1,3,0.83,0.83
OUT,OUT_0,2026-03-20,1,4,5,4.0,0,4,1.529,1.529
OUT,OUT_1,2026-06-09,1,1,5,3.0,0,3,0.929,0.929
OUT,OUT_2,2026-07-24,1,4,5,,3,4,-1.0,-1.0
OVV,OVV_0,2026-04-21,1,2,5,1.0,0,2,1.587,1.587
OVV,OVV_1,2026-05-13,0,2,5,1.0,0,2,1.097,1.097
P,P_0,2024-07-17,0,2,5,3.0,0,3,-1.0,-1.0
PARR,PARR_0,2025-08-06,2,4,5,1.0,0,2,0.495,0.495
PAYO,PAYO_0,2024-12-20,3,2,5,4.0,0,4,1.049,1.049
PBF,PBF_0,2025-11-24,1,4,5,4.0,0,3,1.237,1.237
PBF,PBF_1,2026-04-09,1,2,0,4.0,0,1,-1.0,-1.0
PBF,PBF_2,2026-04-22,0,2,5,,0,1,0.495,0.495
PBI,PBI_0,2024-08-05,1,2,5,,0,3,1.673,1.673
PBI,PBI_1,2024-09-06,0,0,5,,0,3,-1.0,-1.0
PBI,PBI_2,2024-12-18,0,1,5,3.0,0,0,-1.0,-1.0
PBI,PBI_3,2025-03-27,0,4,3,1.0,4,3,-1.0,-1.0
PBI,PBI_4,2025-08-06,1,3,5,4.0,0,3,1.346,1.346
PBI,PBI_5,2025-10-21,1,5,3,,5,0,-1.0,-1.0
PBI,PBI_6,2026-08-03,1,4,5,4.0,0,4,1.292,1.292
PEB,PEB_0,2026-08-07,0,3,5,4.0,0,3,-1.0,-1.0
PEGA,PEGA_0,2024-04-26,1,4,5,,4,3,-1.0,-1.0
PEGA,PEGA_1,2025-01-13,0,4,5,3.0,3,5,3.864,3.988
PENG,PENG_0,2026-07-17,1,1,5,4.0,1,2,-1.0,-1.0
PFGC,PFGC_0,2025-02-05,1,4,5,,3,0,-1.0,-1.0
PHIN,PHIN_0,2024-07-11,0,4,5,,5,3,0.495,1.071
PINS,PINS_0,2024-02-09,0,1,5,4.0,0,3,-1.0,-1.0
POWI,POWI_0,2026-06-29,0,2,5,5.0,3,3,1.248,1.248
POWI,POWI_1,2026-07-02,0,2,5,3.0,0,2,-1.0,-1.0
POWL,POWL_0,2024-04-01,1,3,0,1.0,0,1,-1.0,-1.0
POWL,POWL_1,2024-06-04,0,0,5,,0,2,1.924,1.924
POWL,POWL_2,2024-11-20,1,1,3,3.0,0,2,2.185,2.185
POWL,POWL_3,2026-06-29,0,3,5,3.0,0,3,-1.0,-1.0
PR,PR_0,2026-04-17,1,2,5,4.0,0,2,1.782,1.782
PR,PR_1,2026-05-07,0,2,5,4.0,0,2,1.22,1.22
PTCT,PTCT_0,2026-01-05,1,1,5,5.0,4,3,0.495,1.052
PTEN,PTEN_0,2026-04-17,1,1,5,3.0,0,1,3.999,3.246
PTEN,PTEN_1,2026-05-29,0,2,5,3.0,0,2,0.792,0.792
PTON,PTON_0,2025-01-02,1,4,5,5.0,0,3,1.125,1.125
RCUS,RCUS_0,2026-01-05,1,1,5,3.0,1,2,-1.0,-1.0
RELY,RELY_0,2025-02-21,1,3,5,5.0,0,3,-1.0,-1.0
ROIV,ROIV_0,2026-01-05,0,2,5,5.0,0,3,1.458,1.458
ROIV,ROIV_1,2026-01-30,1,4,5,4.0,0,3,-1.0,-1.0
ROIV,ROIV_2,2026-03-30,3,1,5,3.0,1,4,1.632,1.632
ROIV,ROIV_3,2026-04-23,0,3,5,1.0,0,3,-1.0,-1.0
RSI,RSI_0,2024-07-05,0,4,5,3.0,0,3,1.124,1.124
RSI,RSI_1,2024-08-05,0,1,5,3.0,1,4,1.066,1.066
RSI,RSI_2,2024-10-28,1,5,5,,0,0,1.663,1.663
RSI,RSI_3,2025-01-24,0,4,5,3.0,0,3,1.075,1.075
RSI,RSI_4,2025-02-21,0,4,5,3.0,0,2,-1.0,-1.0
RSI,RSI_5,2025-10-01,0,4,5,4.0,0,3,-1.0,-1.0
RSI,RSI_6,2025-10-15,0,1,5,,4,3,-1.0,-1.0
RSI,RSI_7,2026-06-03,2,0,5,3.0,0,2,1.63,1.63
RUN,RUN_0,2025-11-10,0,1,5,3.0,0,2,1.418,1.418
SBH,SBH_0,2025-10-10,0,4,5,2.0,0,3,2.11,2.11
SBH,SBH_1,2025-11-13,1,2,5,,3,3,-1.0,-1.0
SBH,SBH_2,2025-12-04,0,3,5,,5,3,-1.0,-1.0
SBH,SBH_3,2025-12-23,0,1,5,,0,0,-1.0,-1.0
SBH,SBH_4,2026-02-10,0,3,3,,5,3,0.547,0.547
