run_date,ticker,dropped_at,disposition,entry_price,risk_per_share,adr10_pct,overhead_R,score,shares,position_cost,sizing_constraint
2026-09-15,DOCN,no_data_for_date,,,,,,,,,
2026-09-15,DOCS,no_data_for_date,,,,,,,,,
2026-09-15,DOCU,no_data_for_date,,,,,,,,,
2026-09-15,DORM,no_data_for_date,,,,,,,,,
2026-09-15,DRH,no_data_for_date,,,,,,,,,
2026-09-15,DTM,no_data_for_date,,,,,,,,,
2026-09-15,DT,no_data_for_date,,,,,,,,,
2026-09-15,DUOL,no_data_for_date,,,,,,,,,
2026-09-15,DV,no_data_for_date,,,,,,,,,
2026-09-15,DXC,no_data_for_date,,,,,,,,,
2026-09-15,DXPE,no_data_for_date,,,,,,,,,
2026-09-15,DY,no_data_for_date,,,,,,,,,
2026-09-15,EAT,no_data_for_date,,,,,,,,,
2026-09-15,EBC,no_data_for_date,,,,,,,,,
2026-09-15,ECG,no_data_for_date,,,,,,,,,
2026-09-15,ECPG,no_data_for_date,,,,,,,,,
2026-09-15,EEFT,no_data_for_date,,,,,,,,,
2026-09-15,EFC,no_data_for_date,,,,,,,,,
2026-09-15,EFOR,no_data_for_date,,,,,,,,,
2026-09-15,EGBN,no_data_for_date,,,,,,,,,
2026-09-15,EGP,no_data_for_date,,,,,,,,,
2026-09-15,EHC,no_data_for_date,,,,,,,,,
2026-09-15,EIG,no_data_for_date,,,,,,,,,
2026-09-15,ELAN,no_data_for_date,,,,,,,,,
2026-09-15,ELF,no_data_for_date,,,,,,,,,
2026-09-15,ELS,no_data_for_date,,,,,,,,,
2026-09-15,EMN,no_data_for_date,,,,,,,,,
2026-09-15,ENOV,no_data_for_date,,,,,,,,,
2026-09-15,ENPH,no_data_for_date,,,,,,,,,
2026-09-15,ENR,no_data_for_date,,,,,,,,,
2026-09-15,ENSG,no_data_for_date,,,,,,,,,
2026-09-15,ENS,no_data_for_date,,,,,,,,,
2026-09-15,ENTG,no_data_for_date,,,,,,,,,
2026-09-15,ENVA,no_data_for_date,,,,,,,,,
2026-09-15,EPAC,no_data_for_date,,,,,,,,,
2026-09-15,EPAM,no_data_for_date,,,,,,,,,
2026-09-15,EPC,no_data_for_date,,,,,,,,,
2026-09-15,EPRT,no_data_for_date,,,,,,,,,
2026-09-15,EPR,no_data_for_date,,,,,,,,,
2026-09-15,EQH,no_data_for_date,,,,,,,,,
2026-09-15,ESAB,no_data_for_date,,,,,,,,,
2026-09-15,ESE,no_data_for_date,,,,,,,,,
2026-09-15,ESI,no_data_for_date,,,,,,,,,
2026-09-15,ESNT,no_data_for_date,,,,,,,,,
2026-09-15,ETSY,no_data_for_date,,,,,,,,,
2026-09-15,EVR,no_data_for_date,,,,,,,,,
2026-09-15,EVTC,no_data_for_date,,,,,,,,,
2026-09-15,EWBC,no_data_for_date,,,,,,,,,
2026-09-15,EXEL,no_data_for_date,,,,,,,,,
2026-09-15,EXLS,no_data_for_date,,,,,,,,,
2026-09-15,EXPO,no_data_for_date,,,,,,,,,
2026-09-15,EXP,no_data_for_date,,,,,,,,,
2026-09-15,EXTR,no_data_for_date,,,,,,,,,
2026-09-15,EYE,no_data_for_date,,,,,,,,,
2026-09-15,EZPW,no_data_for_date,,,,,,,,,
2026-09-15,FAF,no_data_for_date,,,,,,,,,
2026-09-15,FA,no_50ma_touch,,,,,,,,,
2026-09-15,FBIN,no_data_for_date,,,,,,,,,
2026-09-15,FBK,no_data_for_date,,,,,,,,,
2026-09-15,FBNC,no_data_for_date,,,,,,,,,
2026-09-15,FBP,no_data_for_date,,,,,,,,,
2026-09-15,FBRT,no_data_for_date,,,,,,,,,
2026-09-15,FCFS,no_data_for_date,,,,,,,,,
2026-09-15,FCF,no_data_for_date,,,,,,,,,
2026-09-15,FCN,no_data_for_date,,,,,,,,,
2026-09-15,FCPT,no_data_for_date,,,,,,,,,
2026-09-15,FELE,no_data_for_date,,,,,,,,,
2026-09-15,FFBC,no_data_for_date,,,,,,,,,
2026-09-15,FFIN,no_data_for_date,,,,,,,,,
2026-09-15,FG,no_data_for_date,,,,,,,,,
2026-09-15,FHB,no_data_for_date,,,,,,,,,
2026-09-15,FHI,no_data_for_date,,,,,,,,,
2026-09-15,FHN,no_data_for_date,,,,,,,,,
2026-09-15,FIBK,no_data_for_date,,,,,,,,,
2026-09-15,FIVE,no_data_for_date,,,,,,,,,
2026-09-15,FIVN,no_data_for_date,,,,,,,,,
2026-09-15,FIZZ,no_data_for_date,,,,,,,,,
2026-09-15,FLG,no_data_for_date,,,,,,,,,
2026-09-15,FLO,no_data_for_date,,,,,,,,,
2026-09-15,FLR,no_data_for_date,,,,,,,,,
2026-09-15,FLS,no_data_for_date,,,,,,,,,
2026-09-15,FMC,no_data_for_date,,,,,,,,,
2026-09-15,FNB,no_data_for_date,,,,,,,,,
2026-09-15,FND,no_data_for_date,,,,,,,,,
2026-09-15,FNF,no_data_for_date,,,,,,,,,
2026-09-15,FN,no_data_for_date,,,,,,,,,
2026-09-15,FORM,no_data_for_date,,,,,,,,,
2026-09-15,FOUR,no_data_for_date,,,,,,,,,
2026-09-15,FOXF,no_data_for_date,,,,,,,,,
2026-09-15,FROG,momentum_screen,,,,,,,,,
2026-09-15,FRPT,no_data_for_date,,,,,,,,,
2026-09-15,FR,no_data_for_date,,,,,,,,,
2026-09-15,FSS,no_data_for_date,,,,,,,,,
2026-09-15,FTDR,no_data_for_date,,,,,,,,,
2026-09-15,FTI,no_data_for_date,,,,,,,,,
2026-09-15,FTNT,no_50ma_touch,,,,,,,,,
2026-09-15,FTRE,no_data_for_date,,,,,,,,,
2026-09-15,FULT,no_data_for_date,,,,,,,,,
2026-09-15,FUL,no_data_for_date,,,,,,,,,
2026-09-15,FUN,no_data_for_date,,,,,,,,,
2026-09-15,GAP,no_data_for_date,,,,,,,,,
2026-09-15,GATX,no_data_for_date,,,,,,,,,
2026-09-15,GBCI,no_data_for_date,,,,,,,,,
2026-09-15,GBTG,no_50ma_touch,,,,,,,,,
2026-09-15,GBX,no_data_for_date,,,,,,,,,
2026-09-15,GEF,no_data_for_date,,,,,,,,,
2026-09-15,GEO,no_spy_data,,31.0028,1.1702,3.7744,,,,,
2026-09-15,GFF,no_data_for_date,,,,,,,,,
2026-09-15,GGG,no_data_for_date,,,,,,,,,
2026-09-15,GHC,no_data_for_date,,,,,,,,,
2026-09-15,GH,no_50ma_touch,,,,,,,,,
2026-09-15,GIII,no_data_for_date,,,,,,,,,
2026-09-15,GKOS,no_data_for_date,,,,,,,,,
2026-09-15,GLPI,no_data_for_date,,,,,,,,,
2026-09-15,GMED,no_data_for_date,,,,,,,,,
2026-09-15,GME,no_data_for_date,,,,,,,,,
2026-09-15,GNL,no_data_for_date,,,,,,,,,
2026-09-15,GNTX,no_data_for_date,,,,,,,,,
2026-09-15,GNW,no_data_for_date,,,,,,,,,
2026-09-15,GOLF,no_data_for_date,,,,,,,,,
2026-09-15,GO,no_data_for_date,,,,,,,,,
2026-09-15,GPI,no_data_for_date,,,,,,,,,
2026-09-15,GPK,no_data_for_date,,,,,,,,,
2026-09-15,GPOR,no_data_for_date,,,,,,,,,
2026-09-15,GRBK,no_data_for_date,,,,,,,,,
2026-09-15,GSHD,no_data_for_date,,,,,,,,,
2026-09-15,GTES,no_data_for_date,,,,,,,,,
2026-09-15,GTM,no_data_for_date,,,,,,,,,
2026-09-15,GTY,no_data_for_date,,,,,,,,,
2026-09-15,GT,no_data_for_date,,,,,,,,,
2026-09-15,GVA,no_data_for_date,,,,,,,,,
2026-09-15,GWRE,no_data_for_date,,,,,,,,,
2026-09-15,GXO,no_data_for_date,,,,,,,,,
2026-09-15,G,no_data_for_date,,,,,,,,,
2026-09-15,HAE,no_data_for_date,,,,,,,,,
2026-09-15,HAFC,no_data_for_date,,,,,,,,,
2026-09-15,HALO,no_50ma_touch,,,,,,,,,
2026-09-15,HASI,no_data_for_date,,,,,,,,,
2026-09-15,HAYW,no_data_for_date,,,,,,,,,
2026-09-15,HCC,no_data_for_date,,,,,,,,,
2026-09-15,HCI,no_data_for_date,,,,,,,,,
2026-09-15,HCSG,no_data_for_date,,,,,,,,,
2026-09-15,HE,no_data_for_date,,,,,,,,,
2026-09-15,HFWA,no_data_for_date,,,,,,,,,
2026-09-15,HGV,no_data_for_date,,,,,,,,,
2026-09-15,HIMS,no_data_for_date,,,,,,,,,
2026-09-15,HIW,no_data_for_date,,,,,,,,,
2026-09-15,HLIT,no_data_for_date,,,,,,,,,
2026-09-15,HLI,no_data_for_date,,,,,,,,,
2026-09-15,HLNE,no_data_for_date,,,,,,,,,
2026-09-15,HLX,no_data_for_date,,,,,,,,,
2026-09-15,HL,no_data_for_date,,,,,,,,,
2026-09-15,HMN,no_data_for_date,,,,,,,,,
